name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2014,13.01700286,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
Skoda Rapid 1.5 TDI Ambition,2014,12.82125828,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5
Honda City 2017-2020 EXi,2006,11.97035031,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78,5
Hyundai i20 Sportz Diesel,2010,12.32385568,127000,Diesel,Individual,Manual,First Owner,23,1396,90,5
Maruti Swift VXI BSIII,2007,11.77528973,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5
Hyundai Xcent 1.2 VTVT E Plus,2017,12.99453001,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
Maruti Wagon R LXI DUO BSIII,2007,11.47210347,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5
Maruti 800 DX BSII,2001,10.71441777,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4
Toyota Etios VXD,2011,12.76568843,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5
Ford Figo Diesel Celebration Edition,2013,12.20607265,169000,Diesel,Individual,Manual,First Owner,20,1399,68.1,5
Renault Duster 110PS Diesel RxL,2014,13.12236338,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5
Maruti Zen LX,2005,11.42954386,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60,5
Maruti Swift Dzire VDi,2009,12.54254488,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
Maruti Wagon R LXI Minor,2009,12.10071213,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67,5
Mahindra KUV 100 mFALCON G80 K8 5str,2016,12.89921983,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82,5
Maruti Ertiga SHVS VDI,2016,13.5644818,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7
Hyundai i20 1.4 CRDi Asta,2012,13.12236338,53000,Diesel,Individual,Manual,Second Owner,23,1396,90,5
Maruti Alto LX,2002,11.91839057,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,13.42984808,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
Mahindra Verito 1.5 D4 BSIII,2011,12.06681058,100000,Diesel,Individual,Manual,Second Owner,21,1461,64.1,5
Honda WR-V i-DTEC VX,2017,13.76421726,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5
Maruti Swift Dzire ZDI,2015,13.17115354,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5
Maruti SX4 ZDI,2012,13.30468493,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5
Tata Tigor 2017-2020 XZ,2018,13.12236338,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5
Maruti Baleno Delta 1.2,2016,13.26212532,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Maruti Alto 800 LXI,2017,12.52452638,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,12.61153775,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7
Maruti Wagon R LXI Minor,2009,12.30138283,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67,5
Maruti Omni E MPI STD BS IV,2018,12.4490149,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8
Maruti Vitara Brezza LDi Option,2017,13.41503299,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Omni 8 Seater BSIV,2012,11.91839057,35000,Petrol,Individual,Manual,Second Owner,14,796,35,5
Hyundai i20 1.2 Asta Dual Tone,2018,13.50079981,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
Maruti Vitara Brezza LDi,2017,13.38472764,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Alto 800 CNG LXI Optional,2019,12.70684793,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4
Maruti Alto K10 VXI Airbag,2019,12.81038861,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5
Hyundai Verna VTVT 1.6 SX Option,2019,13.95440256,5000,Petrol,Individual,Manual,First Owner,17,1591,121.3,5
Datsun GO D,2016,11.91839057,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67,5
Tata Safari DICOR 2.2 LX 4x2,2011,12.95984445,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7
